year,mo,storage,inflow,outflow,supply,precip
1983,1,18477.4,816.0,628.0,27.0,2.03
1983,2,69397.5,2394.0,1503.0,31.0,5.09
1983,3,108283.63,3144.0,2511.0,33.0,7.49
1983,4,93783.56,2366.0,2569.0,32.0,4.49
1983,5,95802.76,1499.0,1435.0,33.0,6.44
1983,6,80053.61,357.0,569.0,38.0,2.67
1983,7,78353.41,71.0,60.0,37.0,1.67
1983,8,75803.11,59.0,60.0,38.0,2.25
1983,9,67053,-35.0,65.0,37.0,7.25
1983,10,66410.49,98.0,64.0,34.0,4.48
1983,11,81328.76,331.0,60.0,37.0,4.8
1983,12,126058.63,1757.0,1016.0,34.0,6.47
1984,1,117180.48,1884.0,1970.0,39.0,4.64
1984,2,161140.64,2558.0,1774.0,40.0,5.2
1984,3,148766.3,3177.0,3340.0,39.0,7.66
1984,4,116019.68,1981.0,2492.0,39.0,4.48
1984,5,149160.44,1079.0,500.0,40.0,6.02
1984,6,115439.28,221.0,746.0,42.0,2.04
1984,7,139963.84,1006.0,566.0,41.0,9.82
1984,8,108283.63,424.0,895.0,43.0,2.12
1984,9,90905.24,25.0,262.0,44.0,0.55
1984,10,81753.81,76.0,171.0,46.0,2.93
1984,11,73461.3,53.0,143.0,42.0,1.35
1984,12,89323.56,339.0,58.0,38.0,2.67
1985,1,116600.08,1039.0,568.0,41.0,4.61
1985,2,112068.18,2497.0,2536.0,42.0,5.37
1985,3,113365.74,386.0,323.0,42.0,1.39
1985,4,108716.15,87.0,118.0,47.0,0.46
1985,5,112284.44,248.0,148.0,42.0,4.79
1985,6,88579.24,-4.0,331.0,51.0,2.23
1985,7,79628.56,103.0,196.0,45.0,4.68
1985,8,102163.24,566.0,175.0,45.0,6.39
1985,9,101557.48,101.0,60.0,51.0,0.33
1985,10,88672.28,31.0,194.0,35.0,2.85
1985,11,174630.56,2565.0,1094.0,41.0,9.97
1985,12,114162.4,742.0,1684.0,41.0,1.39
1986,1,120082.48,340.0,200.0,44.0,1.32
1986,2,114858.88,453.0,504.0,43.0,1.87
1986,3,117644.8,1120.0,1028.0,47.0,2.98
1986,4,114162.4,134.0,139.0,53.0,1.1
1986,5,108824.28,149.0,178.0,58.0,2.73
1986,6,89881.8,-52.0,197.0,57.0,0.84
1986,7,74008.35,24.0,206.0,61.0,4.2
1986,8,107526.72,709.0,136.0,54.0,6.99
1986,9,95398.92,-21.0,128.0,48.0,0.53
1986,10,78608.44,-38.0,173.0,47.0,2.0
1986,11,74555.4,63.0,85.0,42.0,3.26
1986,12,107418.59,610.0,58.0,43.0,4.1
1987,1,144562.14,1919.0,1271.0,44.0,5.88
1987,2,156349.49,1908.0,1649.0,47.0,4.23
1987,3,123913.12,2274.0,2755.0,47.0,4.54
1987,4,127423.62,1776.0,1670.0,46.0,5.46
1987,5,124725.68,305.0,297.0,52.0,3.08
1987,6,119153.84,103.0,142.0,55.0,2.48
1987,7,106877.94,31.0,162.0,68.0,2.58
1987,8,88672.28,-35.0,186.0,62.0,2.71
1987,9,88207.08,194.0,150.0,52.0,5.83
1987,10,75293.05,-6.0,142.0,50.0,2.65
1987,11,72914.25,79.0,71.0,45.0,2.48
1987,12,82178.86,241.0,58.0,41.0,3.86
1988,1,116251.84,784.0,205.0,44.0,3.35
1988,2,116019.68,607.0,565.0,47.0,2.24
1988,3,116600.08,259.0,203.0,47.0,2.09
1988,4,126058.63,400.0,192.0,50.0,3.48
1988,5,124261.36,229.0,203.0,55.0,4.97
1988,6,115787.52,48.0,128.0,63.0,2.43
1988,7,102567.08,11.0,164.0,61.0,3.23
1988,8,88951.4,-3.0,145.0,61.0,4.12
1988,9,82603.91,85.0,131.0,55.0,4.79
1988,10,82008.84,172.0,126.0,54.0,4.14
1988,11,107526.72,558.0,95.0,53.0,3.85
1988,12,107851.11,148.0,95.0,48.0,0.76
1989,1,113365.74,340.0,204.0,47.0,1.7
1989,2,200133.36,2218.0,609.0,48.0,5.91
1989,3,162509.54,3239.0,3805.0,46.0,7.06
1989,4,145219.04,1743.0,1989.0,50.0,5.61
1989,5,124493.52,1457.0,1742.0,51.0,4.42
1989,6,125934.54,723.0,644.0,55.0,6.62
1989,7,128664.52,981.0,882.0,55.0,7.3
1989,8,126927.26,1151.0,1124.0,54.0,6.3
1989,9,117528.72,239.0,338.0,58.0,3.96
1989,10,115439.28,904.0,883.0,55.0,4.91
1989,11,115207.12,622.0,577.0,49.0,3.09
1989,12,116832.24,1247.0,1169.0,51.0,3.12
1990,1,117993.04,1310.0,1242.0,49.0,3.93
1990,2,121011.12,2029.0,1926.0,49.0,4.32
1990,3,148240.78,1079.0,588.0,48.0,4.17
1990,4,127795.89,1409.0,1701.0,50.0,4.42
1990,5,137861.76,1565.0,1351.0,50.0,6.95
1990,6,121823.68,195.0,405.0,59.0,1.14
1990,7,111851.92,57.0,151.0,69.0,3.67
1990,8,108932.41,163.0,150.0,61.0,4.67
1990,9,92207.8,-53.0,151.0,68.0,0.46
1990,10,109473.06,501.0,167.0,63.0,8.16
1990,11,105580.38,140.0,149.0,56.0,2.08
1990,12,117644.8,613.0,367.0,50.0,3.78
1991,1,115091.04,2084.0,2079.0,47.0,5.15
1991,2,115091.04,347.0,304.0,44.0,1.31
1991,3,146401.46,1728.0,1171.0,48.0,5.94
1991,4,125686.36,529.0,822.0,55.0,2.63
1991,5,123680.96,219.0,188.0,64.0,2.72
1991,6,113814.16,62.0,159.0,68.0,2.03
1991,7,104174.69,59.0,149.0,67.0,5.35
1991,8,92673,25.0,139.0,64.0,3.13
1991,9,88951.4,146.0,137.0,68.0,4.96
1991,10,76483.19,18.0,145.0,64.0,1.93
1991,11,70569.75,36.0,71.0,58.0,0.98
1991,12,71507.55,123.0,58.0,52.0,2.73
1992,1,114626.72,1174.0,451.0,51.0,4.84
1992,2,126058.63,575.0,322.0,54.0,2.45
1992,3,118689.52,978.0,1042.0,56.0,3.77
1992,4,125073.92,497.0,332.0,58.0,2.4
1992,5,122055.84,148.0,138.0,59.0,3.23
1992,6,128416.34,325.0,161.0,57.0,4.67
1992,7,117064.4,198.0,315.0,68.0,3.98
1992,8,110662.49,119.0,156.0,67.0,4.19
1992,9,100648.84,72.0,167.0,72.0,2.35
1992,10,95297.96,136.0,150.0,67.0,4.54
1992,11,118341.28,747.0,307.0,60.0,5.08
1992,12,117064.4,724.0,686.0,59.0,2.84
1993,1,116716.16,1868.0,1813.0,60.0,5.13
1993,2,117644.8,792.0,715.0,60.0,2.66
1993,3,126927.26,3718.0,3509.0,58.0,7.57
1993,4,126679.08,2403.0,2345.0,63.0,4.99
1993,5,126306.81,321.0,256.0,72.0,4.32
1993,6,112825.09,20.0,162.0,84.0,1.65
1993,7,97721,0.0,155.0,85.0,3.22
1993,8,81838.82,-16.0,156.0,72.0,2.2
1993,9,68225.25,5.0,156.0,63.0,2.68
1993,10,57901.79,28.0,125.0,60.0,3.27
1993,11,58940.35,136.0,65.0,54.0,3.6
1993,12,77333.29,398.0,66.0,52.0,3.69
1994,1,119502.08,784.0,69.0,53.0,3.99
1994,2,116251.84,1213.0,1219.0,53.0,3.31
1994,3,160866.86,2704.0,1926.0,53.0,6.9
1994,4,123797.04,508.0,1075.0,61.0,2.57
1994,5,119037.76,115.0,130.0,62.0,2.22
1994,6,110013.71,55.0,138.0,69.0,2.7
1994,7,109905.58,201.0,142.0,61.0,5.66
1994,8,107526.72,136.0,118.0,57.0,3.91
1994,9,94389.32,-19.0,138.0,57.0,1.49
1994,10,92975.88,190.0,154.0,57.0,3.65
1994,11,90160.92,83.0,74.0,53.0,2.38
1994,12,86160.2,58.0,68.0,51.0,2.38
1995,1,116367.92,843.0,320.0,47.0,4.25
1995,2,124725.68,1406.0,1207.0,48.0,3.82
1995,3,119502.08,1187.0,1222.0,50.0,3.13
1995,4,115207.12,102.0,108.0,62.0,1.18
1995,5,114742.8,156.0,109.0,58.0,3.66
1995,6,193201.5,1935.0,570.0,47.0,11.0
1995,7,125073.92,496.0,1545.0,58.0,3.97
1995,8,119618.16,153.0,163.0,79.0,3.23
1995,9,107202.33,13.0,150.0,71.0,1.73
1995,10,133504.03,1178.0,693.0,58.0,8.27
1995,11,116367.92,1295.0,1531.0,52.0,4.77
1995,12,117876.96,700.0,623.0,53.0,1.84
1996,1,121939.76,1682.0,1562.0,54.0,3.83
1996,2,115903.6,1341.0,1383.0,64.0,2.33
1996,3,121011.12,1300.0,1154.0,63.0,4.1
1996,4,134993.11,864.0,566.0,62.0,3.63
1996,5,134744.93,837.0,775.0,66.0,5.03
1996,6,123913.12,230.0,338.0,75.0,1.89
1996,7,120895.04,164.0,134.0,79.0,3.5
1996,8,125934.54,402.0,247.0,74.0,5.28
1996,9,134372.66,4153.0,3940.0,71.0,13.24
1996,10,114974.96,819.0,1063.0,72.0,2.91
1996,11,115323.2,597.0,524.0,67.0,3.32
1996,12,120662.88,1331.0,1179.0,65.0,3.82
1997,1,122171.92,1151.0,1062.0,64.0,3.56
1997,2,115439.28,1533.0,1590.0,65.0,2.89
1997,3,117993.04,1089.0,980.0,68.0,1.92
1997,4,182434,1712.0,557.0,71.0,5.65
1997,5,121591.52,376.0,1285.0,80.0,1.38
1997,6,124493.52,371.0,243.0,80.0,3.63
1997,7,125562.27,273.0,165.0,90.0,4.26
1997,8,111095.01,-47.0,96.0,92.0,1.31
1997,9,102769,37.0,95.0,82.0,3.77
1997,10,94894.12,47.0,94.0,75.0,2.67
1997,11,102769,285.0,94.0,67.0,3.66
1997,12,112068.18,312.0,95.0,64.0,2.66
1998,1,225326.52,3006.0,1101.0,65.0,7.91
1998,2,207997.05,3393.0,3639.0,66.0,5.13
1998,3,222256.72,4393.0,4090.0,71.0,8.37
1998,4,123100.56,959.0,2557.0,74.0,3.74
1998,5,131146.32,373.0,162.0,80.0,3.95
1998,6,123564.88,114.0,151.0,91.0,2.36
1998,7,113365.74,28.0,96.0,97.0,2.83
1998,8,103850.3,31.0,95.0,91.0,3.07
1998,9,96812.36,80.0,100.0,92.0,3.82
1998,10,84020.28,37.0,143.0,90.0,2.99
1998,11,77248.28,57.0,85.0,79.0,2.19
1998,12,86997.56,278.0,60.0,69.0,4.75
1999,1,131642.68,1598.0,815.0,71.0,5.51
1999,2,117064.4,480.0,670.0,72.0,1.9
1999,3,125686.36,919.0,706.0,73.0,3.0
1999,4,135737.65,859.0,611.0,82.0,4.87
1999,5,121591.52,214.0,353.0,90.0,1.22
1999,6,113149.48,110.0,148.0,104.0,3.28
1999,7,97922.92,34.0,177.0,99.0,3.28
1999,8,91835.64,201.0,194.0,100.0,3.48
1999,9,341131.7,5421.0,1160.0,83.0,17.8
1999,10,178746.5,607.0,3156.0,86.0,2.67
1999,11,137102.64,296.0,916.0,79.0,1.59
1999,12,137474.91,419.0,338.0,75.0,1.74
2000,1,164152.22,1127.0,625.0,69.0,2.48
2000,2,135985.83,1579.0,1997.0,72.0,2.56
2000,3,133876.3,941.0,901.0,75.0,3.2
2000,4,154569.92,1372.0,950.0,74.0,5.66
2000,5,137474.91,441.0,621.0,98.0,3.18
2000,6,140357.98,281.0,128.0,105.0,3.82
2000,7,152105.9,630.0,345.0,95.0,5.34
2000,8,127671.8,455.0,757.0,95.0,4.78
2000,9,131766.77,279.0,110.0,100.0,4.42
2000,10,119269.92,-9.0,97.0,97.0,0.08
2000,11,113473.87,91.0,96.0,92.0,2.03
2000,12,112608.83,148.0,95.0,68.0,1.85
2001,1,112176.31,160.0,96.0,72.0,1.98
2001,2,129409.06,473.0,96.0,67.0,2.91
2001,3,214388.3,1986.0,529.0,75.0,6.28
2001,4,132387.22,799.0,2105.0,84.0,2.6
2001,5,125686.36,121.0,133.0,97.0,3.12
2001,6,130649.96,332.0,158.0,91.0,4.59
2001,7,137226.73,326.0,123.0,96.0,6.46
2001,8,128788.61,247.0,287.0,97.0,2.71
2001,9,119153.84,82.0,152.0,92.0,2.33
2001,10,103201.52,-7.0,162.0,90.0,1.41
2001,11,91742.6,4.0,100.0,86.0,0.49
2001,12,88114.04,74.0,60.0,70.0,1.92
2002,1,116600.08,568.0,50.0,67.0,4.29
2002,2,121475.44,210.0,56.0,66.0,1.02
2002,3,134124.48,333.0,59.0,69.0,3.01
2002,4,130401.78,159.0,145.0,77.0,1.57
2002,5,115555.36,-11.0,140.0,90.0,2.02
2002,6,94995.08,-66.0,167.0,106.0,2.32
2002,7,80988.72,-3.0,131.0,81.0,2.87
2002,8,70179,56.0,131.0,89.0,5.18
2002,9,64768.52,99.0,108.0,77.0,3.95
2002,10,158950.4,1814.0,248.0,71.0,7.96
2002,11,136482.19,1026.0,1335.0,69.0,3.38
2002,12,137474.91,1965.0,1880.0,69.0,3.32
2003,1,146664.22,658.0,435.0,73.0,2.13
2003,2,182729,2131.0,1412.0,70.0,4.77
2003,3,227995.96,2953.0,2145.0,72.0,6.71
2003,4,164289.11,2923.0,3926.0,73.0,6.29
2003,5,168819.63,1617.0,1464.0,80.0,5.47
2003,6,131890.86,973.0,1513.0,80.0,3.15
2003,7,136109.92,882.0,724.0,90.0,6.48
2003,8,132139.04,823.0,800.0,88.0,4.28
2003,9,134993.11,646.0,513.0,85.0,5.77
2003,10,128292.25,189.0,211.0,86.0,2.87
2003,11,130525.87,268.0,152.0,78.0,2.18
2003,12,134248.57,1092.0,957.0,74.0,4.12
2004,1,133007.67,240.0,184.0,76.0,1.2
2004,2,134744.93,961.0,854.0,78.0,1.99
2004,3,137350.82,403.0,281.0,79.0,1.54
2004,4,132883.58,479.0,471.0,84.0,2.32
2004,5,134869.02,289.0,152.0,104.0,3.48
2004,6,126182.72,67.0,116.0,98.0,3.65
2004,7,124957.84,179.0,103.0,96.0,4.68
2004,8,153337.91,995.0,446.0,88.0,8.72
2004,9,133007.67,535.0,790.0,87.0,3.95
2004,10,132263.13,183.0,108.0,88.0,1.76
2004,11,143379.72,585.0,319.0,80.0,3.25
2004,12,135613.56,707.0,757.0,76.0,2.11
2005,1,136358.1,857.0,768.0,77.0,2.87
2005,2,141014.88,636.0,476.0,76.0,1.91
2005,3,144956.28,1463.0,1322.0,76.0,4.34
2005,4,130029.51,589.0,757.0,84.0,0.74
2005,5,126182.72,135.0,105.0,93.0,3.52
2005,6,121011.12,141.0,126.0,101.0,2.66
2005,7,108824.28,36.0,132.0,102.0,2.44
2005,8,94793.16,17.0,136.0,102.0,2.15
2005,9,73852.05,-56.0,165.0,111.0,0.76
2005,10,61341.8,37.0,131.0,95.0,2.77
2005,11,59005.26,132.0,86.0,82.0,4.39
2005,12,95398.92,688.0,58.0,72.0,4.98
2006,1,110662.49,368.0,61.0,66.0,2.67
2006,2,122752.32,343.0,62.0,64.0,1.84
2006,3,121243.28,103.0,62.0,66.0,0.84
2006,4,132511.31,324.0,65.0,70.0,3.79
2006,5,128416.34,131.0,123.0,74.0,2.87
2006,6,154022.36,1259.0,751.0,78.0,7.2
2006,7,130774.05,516.0,812.0,82.0,4.37
2006,8,117528.72,16.0,138.0,93.0,2.83
2006,9,124029.2,294.0,103.0,82.0,5.5
2006,10,124029.2,179.0,102.0,77.0,3.68
2006,11,212943.08,2360.0,794.0,69.0,7.53
2006,12,158129.06,630.0,1455.0,66.0,3.42
2007,1,133007.67,1082.0,1425.0,65.0,2.13
2007,2,135117.2,586.0,481.0,68.0,2.11
2007,3,135365.38,1023.0,945.0,73.0,3.41
2007,4,135985.83,1060.0,974.0,76.0,3.54
2007,5,127299.53,137.0,188.0,90.0,2.7
2007,6,116484,47.0,135.0,93.0,4.28
2007,7,100648.84,-25.0,137.0,93.0,2.56
2007,8,80138.62,-46.0,171.0,98.0,1.47
2007,9,63483.5,-44.0,133.0,84.0,0.92
2007,10,56863.23,86.0,114.0,75.0,4.55
2007,11,48781.75,1.0,65.0,64.0,0.58
2007,12,53246.75,186.0,55.0,63.0,3.98
2008,1,52071.75,101.0,56.0,63.0,1.52
2008,2,58615.8,221.0,54.0,61.0,3.26
2008,3,110338.1,887.0,30.0,58.0,4.81
2008,4,150605.62,1114.0,377.0,61.0,5.82
2008,5,134744.93,223.0,415.0,66.0,2.92
2008,6,127671.8,81.0,118.0,82.0,3.73
2008,7,127299.53,174.0,102.0,78.0,3.17
2008,8,128168.16,252.0,156.0,83.0,6.6
2008,9,159634.85,1930.0,1328.0,74.0,8.02
2008,10,129781.33,66.0,477.0,74.0,0.85
2008,11,133752.21,230.0,97.0,67.0,3.31
2008,12,138518.66,990.0,851.0,63.0,4.12
2009,1,138518.66,736.0,672.0,64.0,3.21
2009,2,143511.1,298.0,143.0,65.0,1.54
2009,3,184941.5,2357.0,1617.0,66.0,6.3
2009,4,133628.12,542.0,1335.0,69.0,1.98
2009,5,134744.93,197.0,105.0,74.0,3.93
2009,6,127919.98,638.0,674.0,79.0,6.29
2009,7,114742.8,30.0,160.0,85.0,1.94
2009,8,103201.52,26.0,132.0,82.0,3.43
2009,9,97216.2,117.0,134.0,78.0,3.64
2009,10,87276.68,17.0,97.0,73.0,2.18
2009,11,140883.5,1787.0,834.0,67.0,8.49
2009,12,161277.53,2768.0,2372.0,64.0,8.13
2010,1,183171.5,1546.0,1126.0,65.0,2.99
2010,2,151969.01,2200.0,2696.0,66.0,2.79
2010,3,150342.86,835.0,796.0,65.0,2.71
2010,4,130898.14,185.0,441.0,71.0,1.06
2010,5,167260.6,1060.0,398.0,71.0,7.08
2010,6,133131.76,130.0,631.0,72.0,2.46
2010,7,123913.12,40.0,111.0,79.0,4.07
2010,8,115091.04,30.0,99.0,75.0,3.2
2010,9,113473.87,174.0,123.0,78.0,4.75
2010,10,108499.89,78.0,94.0,65.0,2.49
2010,11,101658.44,18.0,79.0,53.0,1.05
2010,12,101557.48,107.0,60.0,49.0,2.77
2011,1,101254.6,110.0,62.0,52.0,0.78
2011,2,107202.33,237.0,77.0,55.0,1.72
2011,3,136978.55,621.0,81.0,56.0,5.37
2011,4,143905.24,404.0,230.0,58.0,2.9
2011,5,144036.62,342.0,277.0,63.0,4.37
2011,6,127547.71,-19.0,180.0,78.0,2.81
2011,7,113257.61,-8.0,151.0,74.0,3.43
2011,8,100345.96,-15.0,126.0,67.0,4.08
2011,9,95701.8,107.0,115.0,66.0,6.02
2011,10,87834.92,41.0,99.0,64.0,2.55
2011,11,90533.08,195.0,93.0,58.0,4.27
2011,12,98225.8,245.0,74.0,53.0,2.54
2012,1,100749.8,155.0,63.0,53.0,1.58
2012,2,109905.58,275.0,63.0,55.0,1.94
2012,3,157718.39,913.0,80.0,56.0,3.34
2012,4,147321.12,125.0,243.0,57.0,2.73
2012,5,137474.91,348.0,446.0,62.0,3.58
2012,6,128416.34,25.0,111.0,67.0,2.08
2012,7,119386,50.0,129.0,68.0,3.87
2012,8,117180.48,141.0,114.0,63.0,5.71
2012,9,134372.66,465.0,115.0,61.0,7.51
2012,10,127919.98,57.0,105.0,57.0,2.8
2012,11,120546.8,1.0,69.0,56.0,0.43
2012,12,128912.7,250.0,58.0,56.0,3.43
2013,1,137730.38,854.0,653.0,58.0,4.0
2013,2,149817.34,980.0,707.0,55.0,3.82
2013,3,138124.52,494.0,630.0,55.0,2.22
2013,4,139701.08,614.0,532.0,55.0,3.75
2013,5,132759.49,995.0,1051.0,57.0,4.65
2013,6,147846.64,1348.0,1034.0,60.0,7.62
2013,7,131394.5,1262.0,1470.0,60.0,4.77
2013,8,133628.12,268.0,171.0,60.0,2.33
2013,9,124725.68,12.0,97.0,64.0,2.49
2013,10,115555.36,5.0,90.0,64.0,2.69
2013,11,113473.87,86.0,62.0,58.0,2.77
2013,12,162920.21,1000.0,141.0,56.0,4.75
